,spline_B-Spline_1,spline_B-Spline_2,spline_B-Spline_3,kernel_gaussian_Silverman,kernel_gaussian_MLCV,kernel_epanechnikov_Silverman,kernel_epanechnikov_MLCV,kernel_cosine_Silverman,kernel_cosine_MLCV,kernel_linear_Silverman,kernel_linear_MLCV,nn
L1,0.3490941803509235,0.2722728874116444,0.2835456508601915,0.24584129741172084,0.152773220720902,0.1338372329421746,1.0934293797985142,0.1370685353760284,1.1064322589936921,0.1454811935228902,1.1510397409141095,0.1850713104014048
L2,0.14291076545498235,0.11284154398742896,0.11612109315278041,0.09294925408176179,0.06099301643267972,0.053198187026178775,0.5116372402674791,0.054422526739961216,0.5178277301359925,0.057913631301821485,0.5609466975593482,0.07133196006305381
L_inf,0.12914588170341784,0.12914588170341784,0.12914588170341784,0.0677497604611958,0.04744068793299401,0.04513830682846613,0.8813714602238403,0.045646237736955544,0.884581170336695,0.04623000965344176,0.8815728952184703,0.3426171541145479
Cosine,0.9459845322707846,0.9656741460917466,0.9622641024399985,0.9795823288905833,0.989596698750204,0.9919673983450269,0.6104680354021532,0.9916114573523672,0.6100429885184526,0.9905700431727419,0.5601373664722366,0.9857779713856801
