,spline_B-Spline_1,spline_B-Spline_2,spline_B-Spline_3,kernel_gaussian_Silverman,kernel_gaussian_MLCV,kernel_epanechnikov_Silverman,kernel_epanechnikov_MLCV,kernel_cosine_Silverman,kernel_cosine_MLCV,kernel_linear_Silverman,kernel_linear_MLCV,nn
L1,0.47613941553644823,0.4707267353811004,0.5295058143882608,0.3757872845950346,0.25482936769898595,0.2755430979727047,0.7204737572463276,0.2735705182161122,0.7297888359173701,0.2671449131045796,0.7496992637760347,0.24576127787990668
L2,0.5473587225723606,0.5477530489478064,0.5551470321326822,0.30221582068844755,0.18663474713892567,0.2276203638433899,0.5078051853123036,0.22364566111745587,0.5147573682758471,0.2106572966467739,0.5367030948828034,0.20509844187558132
L_inf,0.9930174848283829,0.9930174848283829,0.9930174848283829,0.6165973984831169,0.501789659506192,0.5172633486120894,0.952995858698053,0.5115741686447595,0.9846208503285542,0.496264057029636,1.0342545835351649,0.9964082815437766
Cosine,0.6362467353613742,0.632719398464643,0.6205728340264025,0.9111430433078115,0.966509073153337,0.9501708683863084,0.8013265579400622,0.952125372280084,0.7974913425774008,0.9580261177688105,0.7850629865497128,0.9612226837708432
