,spline_B-Spline_1,spline_B-Spline_2,spline_B-Spline_3,kernel_gaussian_Silverman,kernel_gaussian_MLCV,kernel_epanechnikov_Silverman,kernel_epanechnikov_MLCV,kernel_cosine_Silverman,kernel_cosine_MLCV,kernel_linear_Silverman,kernel_linear_MLCV,nn
L1,0.31660116392531645,0.29941139065100447,0.36585045230477153,0.153240744353499,0.12246867904488176,0.12663397004267846,0.9749931118727063,0.12689850256988747,0.9621684611420961,0.12726943460862505,0.6781271236371683,0.17310406981804666
L2,0.17071910137319768,0.1685034998228175,0.180034584312598,0.06242795137516308,0.0542831494357482,0.05537769174500406,0.4755098637058839,0.05569121171331373,0.46986209629941134,0.05685345141346715,0.33091801525298004,0.06070539133124591
L_inf,0.15122518122089293,0.15122518122089293,0.15122518122089293,0.04024570010127865,0.03664223160708342,0.036594856037247436,0.8313825114510223,0.03637872643729276,0.8163206080464886,0.03708467723719995,0.5035899167029332,0.18581681285795232
Cosine,0.8429933246628849,0.8438937387139632,0.8328391574259948,0.9825189850102128,0.9853763739538544,0.9845604314906451,0.5227040193606817,0.9843504857402189,0.5294653624345226,0.9835951843239641,0.670628024790031,0.9811188442431972
