,spline_B-Spline_1,spline_B-Spline_2,spline_B-Spline_3,kernel_gaussian_Silverman,kernel_gaussian_MLCV,kernel_epanechnikov_Silverman,kernel_epanechnikov_MLCV,kernel_cosine_Silverman,kernel_cosine_MLCV,kernel_linear_Silverman,kernel_linear_MLCV,nn
L1,0.3880598779624991,0.41710418482022343,0.4363631813630504,0.18436421139983883,0.269302527308455,0.2065975510115585,1.0168653856213443,0.20822261325730185,1.0284286689450974,0.21245260685156922,1.0600432439847502,0.263562017924748
L2,0.24604974536487598,0.24735648560113635,0.2525038804993926,0.10223146683103752,0.144506629043077,0.10992859186252882,0.5577994396735104,0.11072969490512596,0.5648491916739755,0.11246724112132929,0.5879765729273473,0.13138561903924953
L_inf,0.2,0.2,0.2,0.1260565078384236,0.15542346519109873,0.14613431055931886,1.135947611788346,0.146506726334159,1.172402301484998,0.14813225916810546,1.3119302807039845,0.23766213655471802
Cosine,0.8355262547030562,0.8332457374839672,0.8256609120836041,0.9736142052579586,0.9508829446510082,0.9700711598371987,0.6247320610821282,0.9696784801807361,0.62282257363401,0.9688601993732657,0.6063936907516582,0.9558825356529949
