,spline_B-Spline_1,spline_B-Spline_2,spline_B-Spline_3,kernel_gaussian_Silverman,kernel_gaussian_MLCV,kernel_epanechnikov_Silverman,kernel_epanechnikov_MLCV,kernel_cosine_Silverman,kernel_cosine_MLCV,kernel_linear_Silverman,kernel_linear_MLCV,nn
L1,0.2459287131250129,0.24037222028851726,0.2205069738401978,0.1666251978344694,0.18271725842193082,0.20655865615908311,0.17746613144312914,0.2090196850769363,0.17817993991334496,0.214328161067328,0.18193966046687274,0.1607838869458419
L2,0.11549382328461961,0.11799756339311339,0.10593608395232404,0.08911968070228264,0.0990511942093758,0.10887250970648044,0.09635984306642408,0.10988167590358568,0.09689273737306926,0.11288821194210989,0.099104734170255,0.09479131186198966
L_inf,0.0881233692583368,0.08905263892807469,0.08707324261507014,0.08283316599173157,0.09462385771142362,0.10065954455276133,0.08847132746366898,0.10383946017689477,0.0884469564737087,0.1149356839861862,0.09293566256597457,0.3987529817515976
Cosine,0.9805945683081901,0.9759869138906638,0.9818444311875019,0.9862179271940033,0.9824675744741193,0.9787990705875136,0.983441770560399,0.9784080574341569,0.9832496456393912,0.9772375536911517,0.9824485210338794,0.9840570703219014
